algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
adaptdroid_0,atm,standard,use,37.0,51.0,59.0,69.0,77.0,0.4763408931923502,1.8059167861938477,-1.0
craftdroid,union,standard,bert,31.0,49.0,60.0,87.0,90.0,0.47075588291005155,2.04258394241333,-1.0
craftdroid,intersection,standard,bert,33.0,54.0,65.0,74.0,78.0,0.48142786552561107,2.0497379302978516,-1.0
craftdroid,craftdroid,standard,bert,31.0,49.0,62.0,88.0,91.0,0.4757252027614041,2.0385398864746094,-1.0
craftdroid,atm,standard,bert,35.0,57.0,67.0,74.0,78.0,0.4940304927834108,2.0401611328125,-1.0
custom,union,standard,bert,42.0,71.0,84.0,94.0,97.0,0.5701405993431856,1.8115499019622803,-1.0
custom,intersection,standard,bert,43.0,61.0,74.0,87.0,92.0,0.5526632325745202,1.7947537899017334,-1.0
custom,craftdroid,standard,bert,39.0,62.0,80.0,92.0,98.0,0.5462056422185735,1.803279161453247,-1.0
custom,atm,standard,bert,51.0,68.0,85.0,90.0,91.0,0.6020376292074812,1.7943871021270752,-1.0
atm_0,union,standard,bert,33.0,59.0,79.0,91.0,95.0,0.5252214326998145,1.83260178565979,-1.0
atm_0,intersection,standard,bert,39.0,63.0,78.0,86.0,94.0,0.5457288527126549,1.7918508052825928,-1.0
atm_0,craftdroid,standard,bert,34.0,59.0,79.0,90.0,95.0,0.5289286450277164,1.8113648891448975,-1.0
atm_0,atm,standard,bert,42.0,68.0,82.0,90.0,92.0,0.562505141428089,1.8006880283355713,-1.0
adaptdroid_0,union,standard,bert,28.0,43.0,55.0,64.0,72.0,0.41604750158622816,1.8035118579864502,-1.0
adaptdroid_0,intersection,standard,bert,33.0,48.0,58.0,63.0,71.0,0.4521695594002313,1.7908661365509033,-1.0
adaptdroid_0,craftdroid,standard,bert,24.0,38.0,54.0,66.0,73.0,0.3937081440364911,1.80509614944458,-1.0
adaptdroid_0,atm,standard,bert,37.0,49.0,62.0,67.0,73.0,0.4772119729828277,1.8010451793670654,-1.0
craftdroid,union,android,glove,29.0,55.0,64.0,74.0,81.0,0.4654430389512488,2.050262928009033,-1.0
craftdroid,intersection,android,glove,28.0,59.0,66.0,79.0,84.0,0.47307303762489605,2.033849000930786,-1.0
craftdroid,craftdroid,android,glove,29.0,53.0,66.0,74.0,81.0,0.4659757128358496,2.038126230239868,-1.0
craftdroid,atm,android,glove,30.0,62.0,68.0,79.0,84.0,0.4855856686720099,2.031667947769165,-1.0
custom,union,android,glove,41.0,67.0,81.0,94.0,97.0,0.5623586542767578,1.7954139709472656,-1.0
custom,intersection,android,glove,35.0,62.0,77.0,85.0,92.0,0.5258403829096951,1.7976679801940918,-1.0
custom,craftdroid,android,glove,44.0,70.0,81.0,88.0,95.0,0.5816906702999504,1.8126871585845947,-1.0
custom,atm,android,glove,36.0,69.0,83.0,91.0,96.0,0.5459152460115949,1.7959232330322266,-1.0
atm_0,union,android,glove,33.0,59.0,77.0,89.0,92.0,0.522814075481768,1.853039264678955,-1.0
atm_0,intersection,android,glove,38.0,63.0,77.0,90.0,95.0,0.5514216023710979,1.883774995803833,-1.0
atm_0,craftdroid,android,glove,26.0,58.0,76.0,90.0,95.0,0.4964296648732195,1.8408300876617432,-1.0
