algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
adaptdroid_0,intersection,standard,use,150.0,183.0,194.0,202.0,205.0,0.8026098383988622,3.406953811645508,-1.0
adaptdroid_0,craftdroid,standard,use,147.0,174.0,187.0,197.0,201.0,0.777672434396161,3.4540939331054688,-1.0
adaptdroid_0,atm,standard,use,153.0,186.0,194.0,201.0,204.0,0.8113693914715213,3.4177772998809814,-1.0
craftdroid,union,standard,bert,129.0,185.0,200.0,205.0,210.0,0.7534156347305139,3.826698064804077,-1.0
craftdroid,intersection,standard,bert,131.0,186.0,207.0,209.0,213.0,0.7736470229117294,3.8781890869140625,-1.0
craftdroid,craftdroid,standard,bert,125.0,181.0,201.0,205.0,210.0,0.7489464111436435,3.8594138622283936,-1.0
craftdroid,atm,standard,bert,141.0,191.0,206.0,210.0,213.0,0.7925904977375567,3.852296829223633,-1.0
custom,union,standard,bert,139.0,182.0,200.0,206.0,215.0,0.7726585851303048,3.5523321628570557,-1.0
custom,intersection,standard,bert,139.0,182.0,202.0,206.0,211.0,0.7805413370824607,3.478661060333252,-1.0
custom,craftdroid,standard,bert,136.0,181.0,200.0,207.0,215.0,0.7709759235998666,3.363375186920166,-1.0
custom,atm,standard,bert,149.0,190.0,200.0,206.0,212.0,0.8012126820244652,3.3675849437713623,-1.0
atm_0,union,standard,bert,116.0,171.0,197.0,208.0,210.0,0.7238777829960261,3.408540964126587,-1.0
atm_0,intersection,standard,bert,131.0,181.0,199.0,202.0,208.0,0.7670016943450794,3.430224895477295,-1.0
atm_0,craftdroid,standard,bert,116.0,167.0,196.0,206.0,210.0,0.7194597337250357,3.4305529594421387,-1.0
atm_0,atm,standard,bert,144.0,188.0,201.0,205.0,208.0,0.7971631902916797,3.4126017093658447,-1.0
adaptdroid_0,union,standard,bert,107.0,143.0,163.0,173.0,179.0,0.6372691458600543,3.383277177810669,-1.0
adaptdroid_0,intersection,standard,bert,115.0,145.0,163.0,170.0,179.0,0.659276772507304,3.3766632080078125,-1.0
adaptdroid_0,craftdroid,standard,bert,110.0,145.0,163.0,170.0,179.0,0.6449621504584815,3.4150919914245605,-1.0
adaptdroid_0,atm,standard,bert,116.0,148.0,163.0,171.0,181.0,0.6640755548435338,3.4001200199127197,-1.0
craftdroid,union,android,glove,133.0,186.0,204.0,206.0,212.0,0.7715677296559648,3.868410110473633,-1.0
craftdroid,intersection,android,glove,146.0,193.0,210.0,214.0,217.0,0.8254281883693649,3.802088975906372,-1.0
craftdroid,craftdroid,android,glove,124.0,187.0,204.0,206.0,212.0,0.7606146304675716,3.9013619422912598,-1.0
craftdroid,atm,android,glove,150.0,195.0,212.0,214.0,217.0,0.8324669012904308,3.8071789741516113,-1.0
custom,union,android,glove,141.0,183.0,202.0,210.0,215.0,0.7899856823299736,3.411738157272339,-1.0
custom,intersection,android,glove,146.0,199.0,211.0,214.0,216.0,0.8305404562757505,3.553489923477173,-1.0
custom,craftdroid,android,glove,131.0,192.0,206.0,211.0,216.0,0.7903407866643162,3.40828800201416,-1.0
custom,atm,android,glove,153.0,199.0,210.0,213.0,216.0,0.8333310394455907,3.368821144104004,-1.0
atm_0,union,android,glove,122.0,169.0,190.0,198.0,207.0,0.7316761051373888,3.448072910308838,-1.0
atm_0,intersection,android,glove,144.0,198.0,212.0,212.0,215.0,0.8255250029005686,3.4171268939971924,-1.0
atm_0,craftdroid,android,glove,115.0,166.0,188.0,192.0,205.0,0.7152515268241819,3.464588165283203,-1.0
atm_0,atm,android,glove,147.0,198.0,207.0,212.0,215.0,0.8232852868599475,3.3904409408569336,-1.0
adaptdroid_0,union,android,glove,114.0,149.0,161.0,173.0,185.0,0.6656696460670916,3.4328389167785645,-1.0
adaptdroid_0,intersection,android,glove,125.0,157.0,173.0,179.0,183.0,0.7067452807649526,3.405225992202759,-1.0
adaptdroid_0,craftdroid,android,glove,114.0,147.0,161.0,174.0,185.0,0.6656655721573242,3.4453940391540527,-1.0
adaptdroid_0,atm,android,glove,125.0,156.0,172.0,179.0,183.0,0.7047396749998197,3.359321117401123,-1.0
craftdroid,union,blogs,glove,146.0,192.0,202.0,206.0,211.0,0.8035271831711459,3.9331789016723633,-1.0
craftdroid,intersection,blogs,glove,148.0,196.0,206.0,211.0,215.0,0.8276071423130246,3.908376693725586,-1.0
craftdroid,craftdroid,blogs,glove,136.0,191.0,201.0,204.0,211.0,0.7881174295260981,3.8923869132995605,-1.0
craftdroid,atm,blogs,glove,154.0,199.0,207.0,213.0,215.0,0.840000304706187,3.8917698860168457,-1.0
custom,union,blogs,glove,143.0,196.0,209.0,214.0,216.0,0.8067027994629806,3.5110092163085938,-1.0
custom,intersection,blogs,glove,146.0,199.0,210.0,217.0,219.0,0.8311630635160046,3.459958076477051,-1.0
custom,craftdroid,blogs,glove,132.0,197.0,210.0,213.0,215.0,0.7969940441659896,3.5220961570739746,-1.0
custom,atm,blogs,glove,153.0,203.0,209.0,216.0,217.0,0.8356970915794445,3.4039318561553955,-1.0
atm_0,union,blogs,glove,111.0,160.0,189.0,197.0,204.0,0.7001945069788781,3.43666410446167,-1.0
atm_0,intersection,blogs,glove,144.0,196.0,207.0,209.0,215.0,0.8199550480941885,3.407745122909546,-1.0
atm_0,craftdroid,blogs,glove,116.0,167.0,188.0,195.0,203.0,0.7173301187532688,3.443424940109253,-1.0
atm_0,atm,blogs,glove,140.0,196.0,207.0,211.0,214.0,0.8036848164786886,3.430671215057373,-1.0
adaptdroid_0,union,blogs,glove,126.0,160.0,172.0,183.0,195.0,0.7182880568400931,3.426455020904541,-1.0
adaptdroid_0,intersection,blogs,glove,137.0,173.0,188.0,195.0,199.0,0.762462456234875,3.3685901165008545,-1.0
adaptdroid_0,craftdroid,blogs,glove,124.0,158.0,172.0,182.0,196.0,0.7146355357323291,3.4246320724487305,-1.0
adaptdroid_0,atm,blogs,glove,137.0,174.0,187.0,193.0,197.0,0.7609921385576609,3.406826972961426,-1.0
craftdroid,union,standard,glove,143.0,189.0,200.0,206.0,210.0,0.7918347993902655,3.8635268211364746,-1.0
craftdroid,intersection,standard,glove,152.0,196.0,207.0,211.0,213.0,0.833264146612563,3.874929904937744,-1.0
craftdroid,craftdroid,standard,glove,134.0,187.0,200.0,207.0,210.0,0.777348876816108,3.8993899822235107,-1.0
craftdroid,atm,standard,glove,155.0,199.0,207.0,211.0,213.0,0.8396806875879271,3.8523218631744385,-1.0
custom,union,standard,glove,147.0,192.0,205.0,212.0,215.0,0.8097527472527473,3.4834649562835693,-1.0
